Date,New Installs ,Returning Users ,Uninstalls ,Net new installs ,Uninstall rate,DAU ,Unique Page Views,Page view conversion,Add to Cart,A2C Conv,AddtoCart (Prod page),Order Comp,Overall Conv
01-Sep-21,"6,012",715,"2,538","4,738",42.22%,"13,421",4098,30.53%,1316,9.81%,32.11%,460,3.43%
02-Sep-21,"9,327",617,"2,364","5,725",25.35%,"15,858",5068,31.96%,1313,8.28%,25.91%,521,3.29%
03-Sep-21,"10,415",786,"1,552","6,222",14.90%,"15,832",4669,29.49%,1214,7.67%,26.00%,311,1.96%
04-Sep-21,"12,312",765,"2,736","6,258",22.22%,"17,144",5023,29.30%,1328,7.75%,26.44%,435,2.54%
05-Sep-21,"15,719",944,"3,288","5,532",20.92%,"18,753",4599,24.52%,1393,7.43%,30.29%,438,2.34%
06-Sep-21,"9,243",824,"1,788","6,835",19.34%,"16,273",4190,25.75%,933,5.73%,22.27%,427,2.62%
07-Sep-21,"12,312",662,"2,390","7,672",19.41%,"18,850",4605,24.43%,1440,7.64%,31.27%,363,1.93%
08-Sep-21,"11,439",814,"3,182","4,590",27.82%,"14,999",4295,28.64%,1196,7.97%,27.85%,524,3.49%
09-Sep-21,"10,017",803,"2,705","5,091",27.00%,"16,691",4342,26.01%,1301,7.79%,29.96%,455,2.73%
10-Sep-21,"12,541",630,"4,374","6,812",34.88%,"17,694",3938,22.26%,1217,6.88%,30.90%,388,2.19%
11-Sep-21,"9,813",695,"4,020","8,684",40.97%,"19,963",4667,23.38%,1184,5.93%,25.37%,471,2.36%
12-Sep-21,"8,841",528,"3,128",8106,35.38%,"18,592",4341,23.35%,1306,7.02%,30.09%,302,1.62%
13-Sep-21,"14,322",779,"2,095","7,539",14.63%,"17,823",4399,24.68%,1219,6.84%,27.71%,251,1.41%
14-Sep-21,"10,464",823,"1,929","7,283",18.43%,"19,266",4193,21.76%,1186,6.16%,28.29%,289,1.50%
15-Sep-21,"9,914",875,"3,721","7,244",37.53%,"16,062",4631,28.83%,1292,8.04%,27.90%,308,1.92%
16-Sep-21,"13,589",789,"2,869","6,963",21.11%,"21,035",4819,22.91%,1029,4.89%,21.35%,337,1.60%
17-Sep-21,"16,530",927,"2,705","7,456",16.36%,"19,778",5585,28.24%,1297,6.56%,23.22%,470,2.38%
18-Sep-21,"12,089",960,"3,121","6,374",25.82%,"20,761",4677,22.53%,1333,6.42%,28.50%,443,2.13%
19-Sep-21,"12,487",732,"3,765","7,059",30.15%,"24,511",5254,21.44%,1386,5.65%,26.38%,493,2.01%
20-Sep-21,"12,646",947,"2,796","6,926",22.11%,"21,443",5003,23.33%,1341,6.25%,26.80%,458,2.14%
21-Sep-21,"9,834",840,"2,966","4,630",30.16%,"16,959",4487,26.46%,1386,8.17%,30.89%,269,1.59%
22-Sep-21,"10,417",838,"2,100","8,553",20.16%,"19,007",4603,24.22%,1349,7.10%,29.31%,413,2.17%
23-Sep-21,"8,343",838,"2,381",7292,28.54%,"16,686",4107,24.61%,1264,7.58%,30.78%,273,1.64%
24-Sep-21,"10,021",812,"1,985","6,146",19.81%,"16,885",4426,26.21%,915,5.42%,20.67%,214,1.27%
25-Sep-21,"11,391",924,"3,494","6,127",30.67%,"16,295",4653,28.55%,1309,8.03%,28.13%,289,1.77%
26-Sep-21,"10,474",884,"3,026","5,988",28.89%,"19,893",5214,26.21%,1471,7.39%,28.21%,283,1.42%
27-Sep-21,"12,441","1,082","1,724","4,869",13.86%,"15,965",5598,35.06%,1189,7.45%,21.24%,465,2.91%
28-Sep-21,"11,017",945,"1,859","6,204",16.87%,"15,908",4386,27.57%,1119,7.03%,25.51%,368,2.31%
